source_table,id,session_id,latitude,longitude,type,created_at,name,description,metadata
saved_locations,68,user_device_f2b8eb8ce1f50847,44.94397900,-92.88988800,saved_location,2025-08-04 00:28:45.378519,The Edison,Pergola,"{}"
saved_locations,67,user_device_92b0b779f6378a6c,44.90314100,-92.90992800,saved_location,2025-08-02 17:16:14.322937,Colbi Lake,Park bench,"{}"
saved_locations,66,user_device_f2b8eb8ce1f50847,44.95117100,-93.29439700,saved_location,2025-08-02 00:08:57.008891,Emerson St.,,"{}"
saved_locations,65,user_device_f2b8eb8ce1f50847,44.95017300,-93.29416700,saved_location,2025-08-01 23:39:53.090586,Sip Society,,"{}"
saved_locations,64,user_device_f2b8eb8ce1f50847,44.95054800,-93.29422000,saved_location,2025-08-01 23:33:57.951819,Sip Society,stay open late,"{}"
saved_locations,63,user_device_f2b8eb8ce1f50847,44.97101800,-93.27681200,saved_location,2025-08-01 22:21:54.198602,Nicolet,,"{}"
saved_locations,62,user_device_f2b8eb8ce1f50847,44.98078600,-93.27014600,saved_location,2025-08-01 21:54:53.374396,Minneapolis Public Library,Only public restroom in the area,"{}"
saved_locations,61,user_device_92b0b779f6378a6c,44.95198500,-92.93260200,saved_location,2025-07-27 22:50:06.191404,Hotel,Pool for party rentals,"{}"
saved_locations,60,user_device_92b0b779f6378a6c,44.95408200,-92.93120800,saved_location,2025-07-27 20:57:34.199922,Lake elmo,Walking trail,"{}"
saved_locations,59,user_device_f2b8eb8ce1f50847,44.96169600,-93.27683600,saved_location,2025-07-24 18:37:30.522146,Bottineau Trail,Good resting place,"{}"
saved_locations,58,user_device_f2b8eb8ce1f50847,45.08058500,-93.11221800,saved_location,2025-07-20 14:52:43.07721,Soccer field,Gonzalo,"{}"
saved_locations,57,user_device_f2b8eb8ce1f50847,44.94114300,-92.89905900,saved_location,2025-07-19 16:14:19.073614,Markgraff lake bench 3,No launch,"{}"
saved_locations,56,user_device_f2b8eb8ce1f50847,44.93610100,-92.90009700,saved_location,2025-07-19 15:54:04.659567,Markgraff lake bench,Boat launch,"{}"
saved_locations,55,user_device_f2b8eb8ce1f50847,44.94556600,-92.90997600,saved_location,2025-07-16 23:49:06.712895,Gimnastics,,"{}"
saved_locations,54,user_device_f2b8eb8ce1f50847,44.96696100,-93.29803000,saved_location,2025-07-16 19:04:46.577828,1721 23,,"{}"
saved_locations,53,user_device_4f540b2d260483d4,44.97999300,-93.28938300,saved_location,2025-07-16 16:09:51.045627,IMS,,"{}"
saved_locations,52,user_device_f2b8eb8ce1f50847,44.99036500,-93.27322600,saved_location,2025-07-16 00:39:42.858997,Bridge,Test comment for mobile verification,"{}"
saved_locations,51,user_device_f2b8eb8ce1f50847,44.98824600,-93.31371600,saved_location,2025-07-16 00:21:02.691927,Upton Ave N,Test comment for mobile verification,"{}"
saved_locations,50,user_device_403a2fc2a1d5a6fa,44.98835700,-93.31430100,saved_location,2025-07-15 22:59:56.082273,Home,Home,"{}"
locations,1380,user_device_92b0b779f6378a6c,44.98003550,-93.28942240,analyzed_location,2025-08-04 17:46:04.036764,Current Location,,"{}"
locations,1379,user_device_92b0b779f6378a6c,44.98003550,-93.28942240,analyzed_location,2025-08-04 17:46:03.38049,,,"{}"
locations,1378,user_device_92b0b779f6378a6c,44.98063360,-93.29049600,analyzed_location,2025-08-04 17:21:01.825983,,,"{}"
locations,1377,user_device_f2b8eb8ce1f50847,44.94398470,-92.88988560,analyzed_location,2025-08-04 00:29:16.066899,Current Location,,"{}"
locations,1376,user_device_f2b8eb8ce1f50847,44.94398060,-92.88989080,analyzed_location,2025-08-04 00:28:15.657768,Current Location,,"{}"
locations,1375,user_device_f2b8eb8ce1f50847,44.94398060,-92.88989080,analyzed_location,2025-08-04 00:28:15.175094,,,"{}"
locations,1374,user_device_f2b8eb8ce1f50847,44.94354900,-92.89029160,analyzed_location,2025-08-04 00:26:32.421866,Current Location,,"{}"
locations,1373,user_device_f2b8eb8ce1f50847,44.94354900,-92.89029160,analyzed_location,2025-08-04 00:26:31.910529,,,"{}"
